biolab_index,rdkit,standard_value,Binary,assay_type,not_sure
-6117258750317109051,CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(Cl)c2)c1C#Cc1ccc(NC)nc1,6.47664379334521,0,binding,1
-414290510779734346,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCC(C)CC4)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.63301702402215,0,binding,1
3924153389559931900,CCc1ncnc(-c2ccc(C(=O)N3CCN(C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.6675615400844,0,binding,1
983641327178256166,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC4CCCCC4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,5.73873713120751,0,binding,0
-7847193775095329422,CCc1ncnc(-c2ccc(C(=O)N3CCN(c4ccccn4)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.906578314837769,0,binding,1
2541378487026480632,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC(F)F)CC3)c(Cl)c2)c1C#Cc1ccc(NC)nc1,6.44903824770182,0,binding,1
-1971035705419628263,CCc1ncnc(-c2ccc(C(=O)N3CC[S+]([O-])CC3)c(C)c2)c1C#Cc1ccc(N)nc1,7.20197120659593,1,binding,1
-4224769370032508099,Cc1ncnc(-c2ccc(C(=O)N3CCCCO3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.33724216831843,1,binding,1
-2974166775261588593,CCc1ncnc(-c2ccc(C(=O)N3CCC(N(C)C)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,7.14302956651751,1,binding,1
-1864362501217687894,Cc1ncnc(N2CCC(O)(c3ccccc3)CC2)c1C#Cc1ccc(N)nc1,7.65757731917779,1,binding,0
7970666809269376015,CCc1ncnc(-c2ccc(C(=O)N3CCN4CCCC[C@H]4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.771599641297,0,binding,1
8348084939683706760,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.96257350205938,0,binding,1
3619218590795545643,CCc1ncnc(-c2ccc(C(=O)N3CCCO3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.80437705641306,0,binding,1
-1205841807094595377,CCc1ncnc(-c2cc(Cl)c(C(=O)N3CCC(C)(O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.021545566634769,1,binding,1
7533056627533691613,CCNc1ccc(C#Cc2c(CC)ncnc2-c2ccc(C(=O)N3CCn4cnnc4C3)c(F)c2)cn1,7.35320431122153,1,binding,1
9027370109979659349,CCCCN1CCN(C(=O)c2ccc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2OC)CC1,6.29955589897225,0,binding,1
-6172144161366318020,CCc1ncnc(-c2ccc(C(=O)N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,7.013855535289481,1,binding,1
-8772105814737743123,CCc1ncnc(-c2cc(F)c(C(=O)N3CC4(CN(C)C4)C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.52592949678496,0,binding,1
-7730090125148413026,CCc1ncnc(-c2ccc(C(=O)N3CCN(C4CCCC4O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.2432118012318805,1,binding,1
2734307122098053058,CCc1ncnc(-c2cc(F)c(C(=O)N3CCn4ccnc4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.73802380860219,1,binding,0
-5067757254085090389,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)(C)C)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.36051351073141,0,binding,1
-1825365613901593803,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(C)C(=O)C3)c(F)c2)c1C#Cc1ccc(NC)nc1,6.755475488429919,0,binding,1
-9173281393580460915,CCc1ncnc(-c2ccc(C(=O)N(C)OC)cc2)c1C#Cc1ccc(N)nc1,7.180456064458129,1,binding,1
-7947499651983725194,CCc1ncnc(N2CCN(C(=O)N3CCOCC3)CC2)c1C#Cc1ccc(N)nc1,6.935542010773081,0,binding,1
1359535669995874893,CCc1ncnc(N2CCC(NC(C)=O)CC2)c1C#Cc1ccc(N)nc1,7.08092190762393,1,binding,1
-1147912676494958609,CCc1ncnc(-c2ccc(C(=O)N3CCN(C(C)CO)CC3)c(F)c2)c1C#Cc1ccc(N)nc1,6.67366413907125,0,binding,1
4132276940871696028,CCc1ncnc(-c2ccc(C(=O)N3CCn4c(COC)nnc4C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.811915626285059,0,binding,1
203907917611932746,CCc1ncnc(-c2ccc(C(=O)N3CCN(CC)CC3)c(Cl)c2)c1C#Cc1ccc(NC)nc1,6.755970410969981,0,binding,1
1646778892320356524,CCN(C)C(=O)CC1CCN(c2ncnc(C)c2C#Cc2ccc(N)nc2)CC1,7.3565473235138095,1,binding,1
8823813799798507437,CCc1ncnc(-c2ccc(C(=O)N3CCN(Cc4ccccc4)CC3)c(C)c2)c1C#Cc1ccc(N)nc1,6.95860731484177,0,binding,1
-3231687438724481979,CCc1ncnc(-c2ccc(C(=O)N3CCC(N(C)C)CC3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.53106219433454,0,binding,1
-8396442810935193932,CCc1ncnc(-c2ccc(C(=O)N3CCn4c(C)cnc4C3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.50100063641985,1,binding,0
-128232917330544918,CCc1ncnc(-c2ccc(C(=O)N3CCCC(N(C)C)C3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.68739956073874,0,binding,1
5169146592450050235,CCc1ncnc(-c2ccc(C(=O)N3CCN(CCNS(C)(=O)=O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.51427857351842,1,binding,0
2287013322910475553,CCc1ncnc(N2CCC3(CC2)OCCCO3)c1C#Cc1ccc(N)nc1,7.36653154442041,1,binding,1
-9028347710608330767,CCc1ncnc(-c2ccc(N(C)C)nc2)c1C#Cc1ccc(N)nc1,7.4317982759330095,1,binding,1
4764274343838138807,CCc1ncnc(-c2ccc(C(=O)N3C[C@@H]4CCN(C(=O)OC(C)(C)C)[C@@H]4C3)c(F)c2)c1C#Cc1ccc(N)nc1,6.82240579035217,0,binding,1
-6056395461815813671,CCc1ncnc(-c2ccc(C(=O)N3CCC(CN(C)C)CC3)c(F)c2)c1C#Cc1ccc(N)nc1C,6.1681302257195,0,binding,1
7373151692587429401,CCc1ncnc(-c2cc(F)c(C(=O)N3CCN(CC(C)(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.93779419118029,0,binding,1
4533965311291734037,CCCN1CCN(C(=O)c2c(F)cc(-c3ncnc(CC)c3C#Cc3ccc(N)nc3)cc2F)CC1,6.87484417041947,0,binding,1
-2426035275296151411,Cc1ncnc(N2CCC(O)(C3CCCCC3)CC2)c1C#Cc1ccc(N)nc1,7.0087739243075005,1,binding,1
-2969820913779913711,CCc1ncnc(-c2ccc(C(=O)N(C)CCN3CCCC3=O)c(Cl)c2)c1C#Cc1ccc(N)nc1,7.24872089601666,1,binding,1
-6227976864295558558,CCc1ncnc(-c2cc(F)c(C(=O)N(C)C)c(F)c2)c1C#Cc1ccc(N)nc1,7.309272456129629,1,binding,1
-3786165602658359764,CCc1ncnc(N2CCN(CCNS(C)(=O)=O)CC2)c1C#Cc1ccc(N)nc1,7.221848749616361,1,binding,1
7746466553004951193,CCc1ncnc(-c2cc(F)c(C(=O)N3CCC(C(C)(C)O)CC3)c(Cl)c2)c1C#Cc1ccc(N)nc1,6.91829272990265,0,binding,1
-8351781512118073889,CCc1ncnc(-c2ccc(C(=O)NCC3CCNCC3)c(F)c2)c1C#Cc1ccc(N)nc1,7.1550260618531105,1,binding,1
-7164391208549486154,CCc1ncnc(-c2ccc(Cl)c(C(=O)N3CCCCC3)c2)c1C#Cc1ccc(N)nc1,6.224753740259759,0,binding,1
-5947262498289306461,CCc1ncnc(-c2ccc(C(=O)N3CCCC(O)C3)c(OC)c2)c1C#Cc1ccc(N)nc1,6.98213228103649,0,binding,1
-786805472103764744,CCc1ncnc(-c2ccc(C(=O)NC3CCCN(C)C3)c(C)c2)c1C#Cc1ccc(N)nc1,7.194567111867861,1,binding,1
